CVE_EVALUACION,CVE_SOLICITUD,SID,CVE_BECA,CVE_REGLA,PORCENTAJE_OTORGADO,MONTO_OTORGADO,RESULTADO,OBSERVACIONES,EVALUADOR,FECHA_EVALUACION,FECHA_ACT
EVA202500026,SOL202500035,9975,BEC004,REG00021,100.0,4815.13,APROBADA,Documentación completa y verificada,ADM_BECAS_05,2025-03-03,2025-03-03
EVA202500027,SOL202500036,4784,BEC004,REG00021,100.0,4495.24,APROBADA,Aprobada por comité de becas,ADM_BECAS_10,2025-03-14,2025-03-14
EVA202500028,SOL202500037,3330,BEC004,REG00021,0.0,0.0,RECHAZADA,Ya cuenta con beca vigente del mismo tipo,ADM_BECAS_03,2025-02-23,2025-02-23
EVA202500029,SOL202500038,1347,BEC003,REG00005,0.0,0.0,RECHAZADA,Ingreso familiar supera el tope establecido,ADM_BECAS_07,2025-02-08,2025-02-08
EVA202500030,SOL202500040,644,BEC003,REG00004,0.0,0.0,RECHAZADA,Ingreso familiar supera el tope establecido,ADM_BECAS_03,2025-02-07,2025-02-07
EVA202500031,SOL202500041,5911,BEC004,REG00021,0.0,0.0,RECHAZADA,Documentación incompleta,ADM_BECAS_05,2025-02-12,2025-02-12
EVA202500032,SOL202500042,7535,BEC002,REG00041,30.0,1213.65,APROBADA,Perfil validado satisfactoriamente,ADM_BECAS_09,2025-02-12,2025-02-12
EVA202500033,SOL202500043,8272,BEC001,REG00037,100.0,4418.79,APROBADA,Documentación completa y verificada,ADM_BECAS_10,2025-02-26,2025-02-26
EVA202500034,SOL202500046,9189,BEC004,REG00021,100.0,4538.73,APROBADA,Aprobada por comité de becas,ADM_BECAS_06,2025-03-05,2025-03-05
EVA202500035,SOL202500047,3356,BEC003,REG00002,40.0,804.39,APROBADA,Cumple criterios establecidos,ADM_BECAS_08,2025-02-19,2025-02-19
EVA202500036,SOL202500050,5910,BEC003,REG00005,0.0,0.0,APROBADA,Aprobada por comité de becas,ADM_BECAS_08,2025-02-23,2025-02-23
EVA202500037,SOL202500051,9976,BEC003,REG00005,0.0,0.0,RECHAZADA,Documentación incompleta,ADM_BECAS_03,2025-02-08,2025-02-08
EVA202500038,SOL202500052,5650,BEC004,REG00021,0.0,0.0,RECHAZADA,No cumple promedio mínimo requerido,ADM_BECAS_03,2025-02-24,2025-02-24
EVA202500039,SOL202500053,5511,BEC004,REG00024,25.0,601.73,APROBADA,Cumple requisitos académicos y socioeconómicos,ADM_BECAS_02,2025-03-15,2025-03-15
EVA202500040,SOL202500055,4616,BEC004,REG00021,100.0,3444.63,APROBADA,Cumple requisitos académicos y socioeconómicos,ADM_BECAS_03,2025-02-06,2025-02-06
EVA202500041,SOL202500056,7751,BEC004,REG00021,100.0,2859.75,APROBADA,Aprobada por comité de becas,ADM_BECAS_08,2025-03-07,2025-03-07
EVA202500042,SOL202500057,7877,BEC003,REG00005,0.0,0.0,RECHAZADA,Ingreso familiar supera el tope establecido,ADM_BECAS_06,2025-02-13,2025-02-13
EVA202500043,SOL202500058,5892,BEC004,REG00021,100.0,3879.07,APROBADA,Cumple criterios establecidos,ADM_BECAS_05,2025-03-05,2025-03-05
EVA202500044,SOL202500060,2948,BEC004,REG00024,0.0,0.0,RECHAZADA,Ingreso familiar supera el tope establecido,ADM_BECAS_08,2025-02-08,2025-02-08
EVA202500045,SOL202500062,2844,BEC003,REG00004,0.0,0.0,RECHAZADA,Cuenta con materias reprobadas,ADM_BECAS_10,2025-02-04,2025-02-04
EVA202500046,SOL202500065,9585,BEC002,REG00041,30.0,509.89,APROBADA,Aprobada por comité de becas,ADM_BECAS_01,2025-03-11,2025-03-11
EVA202500047,SOL202500066,2542,BEC004,REG00021,100.0,3499.67,APROBADA,Documentación completa y verificada,ADM_BECAS_01,2025-02-04,2025-02-04
EVA202500048,SOL202500067,1388,BEC004,REG00021,100.0,4476.55,APROBADA,Cumple requisitos académicos y socioeconómicos,ADM_BECAS_03,2025-03-08,2025-03-08
EVA202500049,SOL202500069,6661,BEC004,REG00022,75.0,1040.59,APROBADA,Perfil validado satisfactoriamente,ADM_BECAS_09,2025-02-19,2025-02-19
EVA202500050,SOL202500070,3795,BEC002,REG00041,30.0,479.14,APROBADA,Cumple criterios establecidos,ADM_BECAS_03,2025-02-19,2025-02-19
EVA202500051,SOL202500073,6877,BEC002,REG00041,0.0,0.0,CANCELADA,,ADM_BECAS_06,2025-02-26,2025-02-26
EVA202500052,SOL202500076,7112,BEC001,REG00037,100.0,1632.18,APROBADA,Perfil validado satisfactoriamente,ADM_BECAS_06,2025-02-15,2025-02-15
EVA202500053,SOL202500077,4609,BEC002,REG00041,30.0,1448.79,APROBADA,Documentación completa y verificada,ADM_BECAS_04,2025-02-05,2025-02-05
EVA202500054,SOL202500079,4569,BEC004,REG00021,0.0,0.0,RECHAZADA,Cuenta con materias reprobadas,ADM_BECAS_08,2025-02-07,2025-02-07
EVA202500055,SOL202500080,7940,BEC004,REG00021,100.0,3969.08,APROBADA,Perfil validado satisfactoriamente,ADM_BECAS_08,2025-03-08,2025-03-08
EVA202500056,SOL202500082,8590,BEC002,REG00041,30.0,1168.63,APROBADA,Perfil validado satisfactoriamente,ADM_BECAS_09,2025-03-03,2025-03-03
EVA202500057,SOL202500083,8014,BEC004,REG00021,100.0,2649.6,APROBADA,Documentación completa y verificada,ADM_BECAS_01,2025-02-06,2025-02-06
EVA202500058,SOL202500084,451,BEC003,REG00003,0.0,0.0,RECHAZADA,No cumple promedio mínimo requerido,ADM_BECAS_05,2025-02-26,2025-02-26
EVA202500059,SOL202500085,5914,BEC002,REG00041,30.0,684.53,APROBADA,Cumple requisitos académicos y socioeconómicos,ADM_BECAS_06,2025-02-19,2025-02-19
EVA202500060,SOL202500087,772,BEC003,REG00003,0.0,0.0,RECHAZADA,Documentación incompleta,ADM_BECAS_01,2025-02-27,2025-02-27
EVA202500061,SOL202500088,4892,BEC003,REG00005,0.0,0.0,APROBADA,Cumple criterios establecidos,ADM_BECAS_07,2025-02-08,2025-02-08
EVA202500062,SOL202500091,2055,BEC002,REG00041,30.0,1419.18,APROBADA,Aprobada por comité de becas,ADM_BECAS_01,2025-02-26,2025-02-26
EVA202500063,SOL202500092,1900,BEC002,REG00041,30.0,742.33,APROBADA,Cumple criterios establecidos,ADM_BECAS_03,2025-03-06,2025-03-06
EVA202500064,SOL202500093,6543,BEC004,REG00021,100.0,2895.92,APROBADA,Perfil validado satisfactoriamente,ADM_BECAS_03,2025-02-06,2025-02-06
EVA202500065,SOL202500095,9317,BEC004,REG00022,75.0,2653.65,APROBADA,Cumple criterios establecidos,ADM_BECAS_09,2025-02-17,2025-02-17
EVA202500066,SOL202500097,9382,BEC004,REG00021,0.0,0.0,RECHAZADA,Documentación incompleta,ADM_BECAS_10,2025-02-01,2025-02-01
EVA202500067,SOL202500098,10363,BEC004,REG00021,100.0,2771.97,APROBADA,Documentación completa y verificada,ADM_BECAS_10,2025-02-15,2025-02-15
EVA202500068,SOL202500099,2439,BEC003,REG00001,50.0,595.83,APROBADA,Perfil validado satisfactoriamente,ADM_BECAS_06,2025-02-07,2025-02-07
EVA202500069,SOL202500103,5028,BEC002,REG00041,30.0,768.44,APROBADA,Cumple requisitos académicos y socioeconómicos,ADM_BECAS_05,2025-02-03,2025-02-03
EVA202500070,SOL202500108,9630,BEC003,REG00004,0.0,0.0,RECHAZADA,Documentación incompleta,ADM_BECAS_06,2025-02-24,2025-02-24
EVA202500071,SOL202500110,8240,BEC003,REG00003,0.0,0.0,RECHAZADA,No se encuentra en estatus activo,ADM_BECAS_04,2025-03-12,2025-03-12
EVA202500072,SOL202500112,2243,BEC003,REG00004,10.0,250.3,APROBADA,Perfil validado satisfactoriamente,ADM_BECAS_01,2025-02-10,2025-02-10
EVA202500073,SOL202500113,8291,BEC004,REG00021,0.0,0.0,CANCELADA,,ADM_BECAS_09,2025-02-18,2025-02-18
EVA202500074,SOL202500114,5613,BEC004,REG00021,100.0,3695.0,APROBADA,Aprobada por comité de becas,ADM_BECAS_07,2025-02-16,2025-02-16
EVA202500075,SOL202500115,8132,BEC003,REG00005,0.0,0.0,RECHAZADA,No cumple promedio mínimo requerido,ADM_BECAS_09,2025-02-02,2025-02-02
EVA202500076,SOL202500117,5295,BEC004,REG00021,0.0,0.0,RECHAZADA,No se encuentra en estatus activo,ADM_BECAS_10,2025-02-20,2025-02-20
EVA202500077,SOL202500119,1605,BEC003,REG00004,10.0,308.92,APROBADA,Perfil validado satisfactoriamente,ADM_BECAS_10,2025-02-09,2025-02-09
EVA202500078,SOL202500120,6975,BEC003,REG00001,0.0,0.0,CANCELADA,,ADM_BECAS_03,2025-03-08,2025-03-08
EVA202500079,SOL202500122,6862,BEC002,REG00041,0.0,0.0,RECHAZADA,Ya cuenta con beca vigente del mismo tipo,ADM_BECAS_02,2025-02-17,2025-02-17
EVA202500080,SOL202500123,10163,BEC003,REG00005,0.0,0.0,APROBADA,Perfil validado satisfactoriamente,ADM_BECAS_06,2025-02-27,2025-02-27
EVA202500081,SOL202500125,2838,BEC004,REG00021,0.0,0.0,RECHAZADA,Ingreso familiar supera el tope establecido,ADM_BECAS_07,2025-03-12,2025-03-12
EVA202500082,SOL202500126,6001,BEC003,REG00001,50.0,1425.04,APROBADA,Cumple requisitos académicos y socioeconómicos,ADM_BECAS_02,2025-02-05,2025-02-05
EVA202500083,SOL202500127,9437,BEC003,REG00003,0.0,0.0,RECHAZADA,Documentación incompleta,ADM_BECAS_04,2025-02-25,2025-02-25
EVA202500084,SOL202500128,3777,BEC004,REG00021,0.0,0.0,RECHAZADA,Documentación incompleta,ADM_BECAS_02,2025-02-01,2025-02-01
EVA202500085,SOL202500129,4448,BEC004,REG00021,100.0,1901.16,APROBADA,Documentación completa y verificada,ADM_BECAS_10,2025-02-07,2025-02-07
EVA202500086,SOL202500130,1696,BEC001,REG00037,100.0,2125.54,APROBADA,Aprobada por comité de becas,ADM_BECAS_03,2025-02-16,2025-02-16
EVA202500087,SOL202500131,7459,BEC003,REG00005,0.0,0.0,CANCELADA,,ADM_BECAS_02,2025-03-01,2025-03-01
EVA202500088,SOL202500132,6361,BEC003,REG00005,0.0,0.0,APROBADA,Cumple requisitos académicos y socioeconómicos,ADM_BECAS_06,2025-03-05,2025-03-05
EVA202500089,SOL202500133,6875,BEC004,REG00021,100.0,3833.4,APROBADA,Cumple requisitos académicos y socioeconómicos,ADM_BECAS_08,2025-03-10,2025-03-10
EVA202500090,SOL202500134,10256,BEC002,REG00041,0.0,0.0,CANCELADA,,ADM_BECAS_04,2025-02-27,2025-02-27
EVA202500091,SOL202500135,7253,BEC004,REG00021,0.0,0.0,RECHAZADA,Ingreso familiar supera el tope establecido,ADM_BECAS_01,2025-02-07,2025-02-07
EVA202500092,SOL202500136,7539,BEC004,REG00021,100.0,2820.24,APROBADA,Perfil validado satisfactoriamente,ADM_BECAS_02,2025-02-14,2025-02-14
EVA202500093,SOL202500138,7973,BEC003,REG00005,0.0,0.0,RECHAZADA,No se encuentra en estatus activo,ADM_BECAS_02,2025-02-11,2025-02-11
EVA202500094,SOL202500140,5833,BEC004,REG00023,50.0,520.09,APROBADA,Documentación completa y verificada,ADM_BECAS_04,2025-02-09,2025-02-09
EVA202500095,SOL202500144,243,BEC003,REG00005,0.0,0.0,APROBADA,Aprobada por comité de becas,ADM_BECAS_04,2025-02-26,2025-02-26
EVA202500096,SOL202500147,7220,BEC003,REG00004,10.0,111.27,APROBADA,Documentación completa y verificada,ADM_BECAS_09,2025-03-07,2025-03-07
EVA202500097,SOL202500149,3581,BEC004,REG00021,0.0,0.0,RECHAZADA,Cuenta con materias reprobadas,ADM_BECAS_06,2025-02-21,2025-02-21
EVA202500098,SOL202500150,9335,BEC002,REG00041,30.0,1469.17,APROBADA,Cumple requisitos académicos y socioeconómicos,ADM_BECAS_09,2025-02-11,2025-02-11
EVA202500099,SOL202500151,2673,BEC003,REG00004,0.0,0.0,RECHAZADA,Documentación incompleta,ADM_BECAS_07,2025-02-02,2025-02-02
EVA202500100,SOL202500152,6940,BEC004,REG00021,100.0,1448.54,APROBADA,Cumple criterios establecidos,ADM_BECAS_07,2025-02-05,2025-02-05
EVA202500101,SOL202500154,1779,BEC003,REG00004,10.0,471.84,APROBADA,Perfil validado satisfactoriamente,ADM_BECAS_05,2025-03-07,2025-03-07
EVA202500102,SOL202500155,7331,BEC002,REG00041,0.0,0.0,CANCELADA,,ADM_BECAS_03,2025-03-13,2025-03-13
EVA202500103,SOL202500156,7790,BEC002,REG00041,30.0,317.04,APROBADA,Cumple criterios establecidos,ADM_BECAS_10,2025-03-10,2025-03-10
EVA202500104,SOL202500157,8023,BEC002,REG00041,30.0,1029.62,APROBADA,Perfil validado satisfactoriamente,ADM_BECAS_03,2025-02-07,2025-02-07
EVA202500105,SOL202500158,9324,BEC004,REG00021,0.0,0.0,RECHAZADA,No cumple promedio mínimo requerido,ADM_BECAS_01,2025-02-12,2025-02-12
EVA202500106,SOL202500160,3587,BEC003,REG00004,10.0,344.3,APROBADA,Documentación completa y verificada,ADM_BECAS_01,2025-02-10,2025-02-10
EVA202500107,SOL202500161,392,BEC004,REG00021,0.0,0.0,RECHAZADA,No cumple promedio mínimo requerido,ADM_BECAS_02,2025-03-07,2025-03-07
EVA202500108,SOL202500162,4513,BEC004,REG00021,100.0,4777.88,APROBADA,Documentación completa y verificada,ADM_BECAS_07,2025-02-27,2025-02-27
EVA202500109,SOL202500165,3228,BEC003,REG00002,0.0,0.0,RECHAZADA,Ingreso familiar supera el tope establecido,ADM_BECAS_03,2025-03-10,2025-03-10
EVA202500110,SOL202500167,6988,BEC003,REG00004,10.0,243.22,APROBADA,Cumple criterios establecidos,ADM_BECAS_03,2025-02-11,2025-02-11
EVA202500111,SOL202500169,6178,BEC003,REG00003,25.0,1234.54,APROBADA,Cumple criterios establecidos,ADM_BECAS_02,2025-03-08,2025-03-08
EVA202500112,SOL202500170,8594,BEC002,REG00041,0.0,0.0,RECHAZADA,Documentación incompleta,ADM_BECAS_02,2025-02-10,2025-02-10
EVA202500113,SOL202500171,2191,BEC002,REG00041,0.0,0.0,RECHAZADA,Documentación incompleta,ADM_BECAS_03,2025-02-05,2025-02-05
EVA202500114,SOL202500172,7625,BEC004,REG00021,0.0,0.0,CANCELADA,,ADM_BECAS_07,2025-02-09,2025-02-09
EVA202500115,SOL202500174,6059,BEC003,REG00005,0.0,0.0,APROBADA,Cumple criterios establecidos,ADM_BECAS_03,2025-03-01,2025-03-01
EVA202500116,SOL202500175,983,BEC004,REG00021,100.0,2412.07,APROBADA,Documentación completa y verificada,ADM_BECAS_01,2025-02-04,2025-02-04
EVA202500117,SOL202500177,7278,BEC003,REG00004,10.0,271.16,APROBADA,Perfil validado satisfactoriamente,ADM_BECAS_08,2025-02-16,2025-02-16
EVA202500118,SOL202500180,8111,BEC003,REG00003,0.0,0.0,RECHAZADA,Cuenta con materias reprobadas,ADM_BECAS_07,2025-02-01,2025-02-01
EVA202500119,SOL202500181,6271,BEC003,REG00005,0.0,0.0,APROBADA,Documentación completa y verificada,ADM_BECAS_01,2025-02-01,2025-02-01
EVA202500120,SOL202500182,5016,BEC003,REG00005,0.0,0.0,APROBADA,Perfil validado satisfactoriamente,ADM_BECAS_07,2025-02-10,2025-02-10
EVA202500121,SOL202500183,1942,BEC004,REG00021,0.0,0.0,RECHAZADA,Documentación incompleta,ADM_BECAS_03,2025-03-01,2025-03-01
EVA202500122,SOL202500185,1817,BEC003,REG00003,25.0,1098.91,APROBADA,Aprobada por comité de becas,ADM_BECAS_06,2025-03-09,2025-03-09
EVA202500123,SOL202500186,3894,BEC002,REG00041,0.0,0.0,RECHAZADA,Ingreso familiar supera el tope establecido,ADM_BECAS_03,2025-03-15,2025-03-15
EVA202500124,SOL202500187,335,BEC004,REG00022,75.0,1430.96,APROBADA,Cumple criterios establecidos,ADM_BECAS_05,2025-02-07,2025-02-07
EVA202500125,SOL202500190,8430,BEC004,REG00021,0.0,0.0,RECHAZADA,Documentación incompleta,ADM_BECAS_01,2025-02-02,2025-02-02
EVA202500126,SOL202500191,4323,BEC002,REG00041,30.0,1203.83,APROBADA,Cumple criterios establecidos,ADM_BECAS_02,2025-03-11,2025-03-11
EVA202500127,SOL202500193,7084,BEC003,REG00001,50.0,1157.8,APROBADA,Cumple requisitos académicos y socioeconómicos,ADM_BECAS_07,2025-02-23,2025-02-23
EVA202500128,SOL202500195,4408,BEC003,REG00004,10.0,375.0,APROBADA,Aprobada por comité de becas,ADM_BECAS_02,2025-02-11,2025-02-11
EVA202500129,SOL202500196,2757,BEC003,REG00003,25.0,1183.09,APROBADA,Cumple criterios establecidos,ADM_BECAS_08,2025-03-11,2025-03-11
EVA202500130,SOL202500199,1820,BEC004,REG00021,100.0,1452.08,APROBADA,Aprobada por comité de becas,ADM_BECAS_07,2025-03-08,2025-03-08
EVA202500131,SOL202500204,10217,BEC003,REG00005,0.0,0.0,RECHAZADA,Documentación incompleta,ADM_BECAS_05,2025-02-01,2025-02-01
EVA202500132,SOL202500205,5953,BEC003,REG00002,0.0,0.0,RECHAZADA,Ingreso familiar supera el tope establecido,ADM_BECAS_01,2025-02-11,2025-02-11
EVA202500133,SOL202500207,5128,BEC004,REG00021,100.0,1449.41,APROBADA,Cumple criterios establecidos,ADM_BECAS_04,2025-03-06,2025-03-06
EVA202500134,SOL202500208,2770,BEC004,REG00021,0.0,0.0,RECHAZADA,Cuenta con materias reprobadas,ADM_BECAS_04,2025-02-23,2025-02-23
EVA202500135,SOL202500209,9790,BEC003,REG00003,25.0,826.89,APROBADA,Aprobada por comité de becas,ADM_BECAS_01,2025-02-21,2025-02-21
EVA202500136,SOL202500212,4070,BEC004,REG00021,0.0,0.0,RECHAZADA,Ingreso familiar supera el tope establecido,ADM_BECAS_02,2025-02-05,2025-02-05
EVA202500137,SOL202500217,1339,BEC003,REG00003,25.0,1209.12,APROBADA,Cumple criterios establecidos,ADM_BECAS_02,2025-03-09,2025-03-09
EVA202500138,SOL202500219,646,BEC004,REG00021,0.0,0.0,RECHAZADA,No cumple promedio mínimo requerido,ADM_BECAS_02,2025-02-23,2025-02-23
EVA202500139,SOL202500221,7830,BEC004,REG00021,0.0,0.0,RECHAZADA,No se encuentra en estatus activo,ADM_BECAS_09,2025-03-14,2025-03-14
EVA202500140,SOL202500223,6760,BEC002,REG00041,0.0,0.0,RECHAZADA,Cuenta con materias reprobadas,ADM_BECAS_05,2025-03-14,2025-03-14
EVA202500141,SOL202500224,3329,BEC003,REG00004,0.0,0.0,RECHAZADA,Ya cuenta con beca vigente del mismo tipo,ADM_BECAS_08,2025-02-27,2025-02-27
EVA202500142,SOL202500225,3407,BEC004,REG00021,0.0,0.0,RECHAZADA,No cumple promedio mínimo requerido,ADM_BECAS_07,2025-02-23,2025-02-23
EVA202500143,SOL202500227,6135,BEC003,REG00005,0.0,0.0,CANCELADA,,ADM_BECAS_10,2025-03-01,2025-03-01
EVA202500144,SOL202500228,769,BEC003,REG00002,0.0,0.0,CANCELADA,,ADM_BECAS_03,2025-03-08,2025-03-08
EVA202500145,SOL202500232,3504,BEC004,REG00021,100.0,4675.86,APROBADA,Documentación completa y verificada,ADM_BECAS_05,2025-03-07,2025-03-07
EVA202500146,SOL202500233,2938,BEC004,REG00021,100.0,3369.56,APROBADA,Cumple criterios establecidos,ADM_BECAS_10,2025-02-16,2025-02-16
EVA202500147,SOL202500234,8024,BEC004,REG00021,0.0,0.0,RECHAZADA,Cuenta con materias reprobadas,ADM_BECAS_02,2025-02-26,2025-02-26
EVA202500148,SOL202500235,9234,BEC004,REG00021,100.0,3282.6,APROBADA,Documentación completa y verificada,ADM_BECAS_10,2025-03-05,2025-03-05
EVA202500149,SOL202500236,2796,BEC003,REG00005,0.0,0.0,APROBADA,Documentación completa y verificada,ADM_BECAS_04,2025-03-05,2025-03-05
EVA202500150,SOL202500238,665,BEC003,REG00002,40.0,1990.58,APROBADA,Documentación completa y verificada,ADM_BECAS_01,2025-02-28,2025-02-28
EVA202500151,SOL202500241,8720,BEC004,REG00021,100.0,4683.67,APROBADA,Documentación completa y verificada,ADM_BECAS_01,2025-02-13,2025-02-13
EVA202500152,SOL202500244,3132,BEC003,REG00001,50.0,2075.79,APROBADA,Perfil validado satisfactoriamente,ADM_BECAS_05,2025-02-03,2025-02-03
EVA202500153,SOL202500246,7859,BEC002,REG00041,30.0,611.28,APROBADA,Cumple criterios establecidos,ADM_BECAS_07,2025-02-18,2025-02-18
EVA202500154,SOL202500247,7023,BEC003,REG00003,25.0,947.55,APROBADA,Cumple requisitos académicos y socioeconómicos,ADM_BECAS_01,2025-03-03,2025-03-03
EVA202500155,SOL202500248,6893,BEC004,REG00021,100.0,3174.03,APROBADA,Documentación completa y verificada,ADM_BECAS_07,2025-03-07,2025-03-07
EVA202500156,SOL202500250,9397,BEC004,REG00023,50.0,1089.83,APROBADA,Cumple criterios establecidos,ADM_BECAS_10,2025-02-01,2025-02-01
EVA202500157,SOL202500251,5438,BEC003,REG00004,10.0,378.99,APROBADA,Cumple criterios establecidos,ADM_BECAS_07,2025-03-07,2025-03-07
EVA202500158,SOL202500256,7511,BEC004,REG00021,100.0,1928.21,APROBADA,Cumple requisitos académicos y socioeconómicos,ADM_BECAS_09,2025-02-17,2025-02-17
EVA202500159,SOL202500260,1281,BEC001,REG00037,0.0,0.0,RECHAZADA,Cuenta con materias reprobadas,ADM_BECAS_06,2025-02-02,2025-02-02
EVA202500160,SOL202500261,1029,BEC003,REG00004,10.0,367.15,APROBADA,Aprobada por comité de becas,ADM_BECAS_02,2025-03-01,2025-03-01
EVA202500161,SOL202500262,10137,BEC003,REG00002,0.0,0.0,RECHAZADA,No cumple promedio mínimo requerido,ADM_BECAS_03,2025-02-22,2025-02-22
EVA202500162,SOL202500265,1533,BEC004,REG00021,100.0,4640.69,APROBADA,Documentación completa y verificada,ADM_BECAS_05,2025-03-05,2025-03-05
EVA202500163,SOL202500266,8151,BEC004,REG00021,0.0,0.0,CANCELADA,,ADM_BECAS_05,2025-02-26,2025-02-26
EVA202500164,SOL202500268,7370,BEC003,REG00002,40.0,1444.55,APROBADA,Aprobada por comité de becas,ADM_BECAS_03,2025-03-15,2025-03-15
EVA202500165,SOL202500269,8170,BEC004,REG00021,100.0,1685.34,APROBADA,Perfil validado satisfactoriamente,ADM_BECAS_04,2025-03-12,2025-03-12
EVA202500166,SOL202500270,314,BEC003,REG00005,0.0,0.0,RECHAZADA,Ingreso familiar supera el tope establecido,ADM_BECAS_07,2025-02-02,2025-02-02
EVA202500167,SOL202500272,4409,BEC002,REG00041,0.0,0.0,RECHAZADA,Documentación incompleta,ADM_BECAS_05,2025-02-23,2025-02-23
EVA202500168,SOL202500273,2494,BEC003,REG00004,10.0,111.85,APROBADA,Perfil validado satisfactoriamente,ADM_BECAS_04,2025-03-03,2025-03-03
EVA202500169,SOL202500275,8996,BEC004,REG00021,0.0,0.0,RECHAZADA,No se encuentra en estatus activo,ADM_BECAS_10,2025-02-09,2025-02-09
EVA202500170,SOL202500276,5422,BEC002,REG00041,0.0,0.0,CANCELADA,,ADM_BECAS_02,2025-02-16,2025-02-16
EVA202500171,SOL202500278,1271,BEC002,REG00041,30.0,1227.17,APROBADA,Cumple criterios establecidos,ADM_BECAS_03,2025-02-07,2025-02-07
EVA202500172,SOL202500280,8025,BEC004,REG00021,100.0,2382.67,APROBADA,Aprobada por comité de becas,ADM_BECAS_10,2025-02-22,2025-02-22
