CVE_SOLICITUD,SID,MATRICULA,CVE_BECA,PERIODO,MOTIVO,INGRESO_FAMILIAR,NUM_DEPENDIENTES,TRABAJA,HORAS_TRABAJO,ESTADO_SOLICITUD,FECHA_SOLICITUD,FECHA_ACT
SOL202500014,1102,2024C01102,BEC004,2025CA,Mi familia depende económicamente de mí y de mi preparación profesional,7665.92,5,False,0,APROBADA,2024-11-21,2025-02-15
SOL202500015,1344,2024A01344,BEC003,2024CC,Los gastos médicos familiares han reducido nuestro ingreso disponible,7325.0,2,True,40,APROBADA,2025-02-12,2025-01-31
SOL202500016,2888,2022B02888,BEC004,2025CA,Quiero aprovechar al máximo esta oportunidad educativa,3684.57,7,False,0,APROBADA,2025-02-13,2025-03-13
SOL202500017,1772,2025A01772,BEC001,2025CA,Mi padre perdió su empleo y necesitamos apoyo urgente,2784.83,7,False,0,RECHAZADA,2025-02-14,2025-01-10
SOL202500018,4472,2023C04472,BEC002,2024CC,Vengo de una zona rural y los costos en la ciudad son muy altos,11594.98,2,True,48,APROBADA,2025-01-12,2025-01-09
SOL202500019,2174,2022C02174,BEC002,2024CC,Trabajo medio tiempo y aún así no me alcanza para cubrir gastos escolares,2504.71,5,True,0,RECHAZADA,2025-02-24,2025-02-22
SOL202500020,9484,2024A09484,BEC003,2025CA,Soy madre soltera y necesito apoyo para continuar mi formación,6083.95,3,False,0,APROBADA,2024-12-07,2025-02-06
SOL202500021,6269,2023B06269,BEC002,2024CC,Mi situación económica ha empeorado considerablemente,8911.32,7,True,15,RECHAZADA,2024-12-28,2025-02-27
SOL202500022,6563,2023A06563,BEC004,2024CC,Vengo de una zona rural y los costos en la ciudad son muy altos,3936.38,3,True,0,RECHAZADA,2025-02-12,26-01-2025
SOL202500023,8100,2021B08100,BEC004,2025CA,Vengo de una zona rural y los costos en la ciudad son muy altos,6173.47,1,False,0,APROBADA,2025-02-28,2025-03-07
SOL202500024,5331,2021A05331,BEC003,2024CC,Mi situación económica ha empeorado considerablemente,13616.48,5,False,0,APROBADA,2024-12-20,2025-02-28
SOL202500025,185,2018C00185,BEC003,2024CC,Trabajo medio tiempo y aún así no me alcanza para cubrir gastos escolares,16005.96,3,False,0,EN_REVISION,2025-01-04,2025-02-06
SOL202500026,8893,2021C08893,BEC004,2024CC,La beca me permitiría dejar de trabajar en horarios nocturnos,4878.8,2,True,0,RECHAZADA,2024-12-23,2025-01-19
SOL202500027,8867,2023C08867,BEC002,2025CA,Necesito apoyo económico para continuar mis estudios,0,3,True,10,RECHAZADA,2024-12-09,2025-02-26
SOL202500028,9308,2018A09308,BEC003,2025CA,Quiero ser el primero en mi familia en terminar una carrera,10217.23,3,False,0,RECHAZADA,2024-11-10,2025-01-05
SOL202500029,6888,2023A06888,BEC004,2024CC,Soy madre soltera y necesito apoyo para continuar mi formación,6348.05,3,0,10,CANCELADA,2024-12-09,2025-01-02
SOL202500030,7744,2021B07744,BEC004,2025CA,Necesito apoyo económico para continuar mis estudios,3236.67,1,False,0,PENDIENTE,2024-12-26,2025-01-16
SOL202500031,2454,2024A02454,BEC004,2024CC,Quiero aprovechar al máximo esta oportunidad educativa,12747.61,3,False,0,APROBADA,2024-12-12,2025-02-08
SOL202500032,7325,2021B07325,BEC002,2025CA,Tengo hermanos menores que también necesitan apoyo escolar,4480.96,6,True,0,APROBADA,2025-02-11,2025-03-12
SOL202500033,4743,2025C04743,BEC001,2025CA,Quiero aprovechar al máximo esta oportunidad educativa,12148.63,5,True,20,APROBADA,2024-11-28,2025-01-22
SOL202500034,1263,2019C01263,BEC003,2025CA,Tengo buen promedio y quiero mantener mi beca por méritos,24565.23,6,False,0,APROBADA,2024-12-25,2025-01-19
SOL202500035,9975,2024B09975,BEC004,2024CC,Vivo lejos de la escuela y el gasto de transporte es muy alto,8502.38,2,False,0,APROBADA,2024-12-11,2025-01-14
SOL202500036,4784,2020C04784,BEC004,2024CC,Quiero ser el primero en mi familia en terminar una carrera,5478.04,3,False,0,APROBADA,2024-11-01,2025-03-13
SOL202500037,3330,2024A03330,BEC004,2025CA,VENGO DE UNA ZONA RURAL Y LOS COSTOS EN LA CIUDAD SON MUY ALTOS,12823.12,2,True,48,RECHAZADA,2024-11-26,2025-01-27
SOL202500038,1347,2023A01347,BEC003,2025CA,Mi situación económica ha empeorado considerablemente,8172.34,7,True,25,RECHAZADA,2024-12-05,2025-02-09
SOL202500039,2446,2021B02446,BEC003,2025CA,Quiero aprovechar al máximo esta oportunidad educativa,9876.35,4,True,10,PENDIENTE,2025-01-22,2025-01-21
SOL202500040,644,2023A00644,BEC003,2024CC,La beca me permitiría dejar de trabajar en horarios nocturnos,9108.86,5,True,15,RECHAZADA,2025-01-19,2025-01-19
SOL202500041,5911,2021C05911,BEC004,2024CC,Soy el sostén de mi familia y necesito apoyo para seguir estudiando,11824.99,4,True,40,RECHAZADA,2025-02-12,2025-01-23
SOL202500042,7535,2021A07535,BEC002,2025CA,Mi comunidad de origen tiene pocas oportunidades y estudiar es mi salida,22955.63,6,False,0,APROBADA,2025-02-21,2025-01-26
SOL202500043,8272,2025A08272,BEC001,2025CA,Necesito la beca para poder dedicarme de tiempo completo a mis estudios,4779.18,3,False,0,APROBADA,2025-02-13,2025-01-12
SOL202500044,10309,2023A10309,BEC003,2024CC,Quiero ser el primero en mi familia en terminar una carrera,9625.71,2,False,0,PENDIENTE,2025-01-27,2025-02-05
SOL202500045,8606,2021C08606,BEC004,2025CA,Vivo lejos de la escuela y el gasto de transporte es muy alto,9861.78,2,True,30,EN_REVISION,2025-02-02,2025-03-15
SOL202500046,9189,2024A09189,BEC004,2024CC,Necesito apoyo económico para continuar mis estudios,13652.02,1,1,15,APROBADA,2024-11-09,2025-01-25
SOL202500047,3356,2021C03356,BEC003,2025CA,TENGO BUEN PROMEDIO Y QUIERO MANTENER MI BECA POR MÉRITOS,17748.41,5,False,0,APROBADA,2024-12-01,2025-01-06
SOL202500048,2766,2024C02766,BEC004,2025CA,La beca me permitiría dejar de trabajar en horarios nocturnos,12691.66,4,False,0,EN_REVISION,2025-02-23,2025-01-21
SOL202500049,8721,2023A08721,BEC004,2025CA,Mi situación económica ha empeorado considerablemente ,8759.07,6,True,30,PENDIENTE,2025-02-04,2025-02-21
SOL202500050,5910,2025A05910,BEC003,2024CC,Estoy a punto de abandonar la escuela por falta de recursos,6129.63,2,True,20,APROBADA,2025-02-20,2025-01-12
SOL202500051,9976,2023C09976,BEC003,2025CA,Necesito apoyo económico para continuar mis estudios,14114.48,1,0,0,RECHAZADA,2025-01-10,2025-01-13
SOL202500052,5650,2023A05650,BEC004,2025CA,Vengo de una zona rural y los costos en la ciudad son muy altos,8983.65,5,True,30,RECHAZADA,2024-11-16,2025-01-27
SOL202500053,5511,2023C05511,BEC004,2024CC,Necesito la beca para poder dedicarme de tiempo completo a mis estudios,11312.03,3,0,0,APROBADA,2024-12-07,2025-01-22
SOL202500054,2110,2021C02110,BEC004,2025CA,Soy madre soltera y necesito apoyo para continuar mi formación,10820.92,6,True,20,EN_REVISION,2025-01-04,2025-01-01
SOL202500055,4616,2019A04616,BEC004,2025CA,Mi comunidad de origen tiene pocas oportunidades y estudiar es mi salida,14244.3,6,True,40,APROBADA,2024-12-20,2025-03-02
SOL202500056,7751,2024B07751,BEC004,2024CC,Mi situación económica ha empeorado considerablemente,6678.05,5,True,0,APROBADA,2025-02-16,2025-01-06
SOL202500057,7877,2023C07877,BEC003,2025CA,Mi familia depende económicamente de mí y de mi preparación profesional,8494.03,4,True,30,RECHAZADA,2024-11-02,2025-01-05
SOL202500058,5892,2019A05892,BEC004,2024CC,Mi madre es la única proveedora y su ingreso no cubre todo,20371.04,2,False,0,APROBADA,2025-02-25,2025-02-24
SOL202500059,7335,2020C07335,BEC004,2024CC,Quiero aprovechar al máximo esta oportunidad educativa,10642.48,3,True,0,EN_REVISION,2025-01-06,2025-03-08
SOL202500060,2948,2020A02948,BEC004,2025CA,Mi familia no cuenta con los recursos suficientes para cubrir la colegiatura,8401.38,4,True,40,RECHAZADA,2025-01-12,2025-02-06
SOL202500061,10148,2021C10148,BEC002,2025CA,Mi madre es la única proveedora y su ingreso no cubre todo,4638.92,5,False,0,EN_REVISION,2024-11-17,2025-03-05
SOL202500062,2844,2023C02844,BEC003,2025CA,Vengo de una zona rural y los costos en la ciudad son muy altos,9916.61,6,1,0,RECHAZADA,2024-12-15,2025-03-01
SOL202500063,5439,2020B05439,BEC003,2024CC,Vivo lejos de la escuela y el gasto de transporte es muy alto,5469.47,3,False,0,EN_REVISION,2025-02-07,2025-01-09
SOL202500064,7673,2018A07673,BEC004,2025CA,Vivo lejos de la escuela y el gasto de transporte es muy alto,7260.14,3,False,0,PENDIENTE,2025-02-19,2025-01-31
SOL202500065,9585,2022B09585,BEC002,2025CA,Mi situación económica ha empeorado considerablemente,6466.89,1,False,0,APROBADA,2025-01-26,2025-02-05
SOL202500066,2542,2023C02542,BEC004,2025CA,Tengo hermanos menores que también necesitan apoyo escolar,4456.18,3,True,0,APROBADA,2025-01-02,2025-01-16
SOL202500067,1388,2022C01388,BEC004,2024CC,Los gastos médicos familiares han reducido nuestro ingreso disponible,6000.3,3,True,10,APROBADA,2025-02-28,2025-01-27
SOL202500068,1721,2024A01721,BEC003,2024CC,Trabajo medio tiempo y aún así no me alcanza para cubrir gastos escolares,3719.1,8,False,0,PENDIENTE,2024-12-21,2025-01-22
SOL202500069,6661,2024C06661,BEC004,2024CC,Quiero aprovechar al máximo esta oportunidad educativa,14590.64,2,False,0,APROBADA,2025-02-17,2025-03-11
SOL202500070,3795,2023C03795,BEC002,2025CA,Necesito apoyo económico para continuar mis estudios,2500,2,True,48,APROBADA,2024-11-28,2025-01-15
SOL202500071,3615,2022B03615,BEC003,2024CC,Mi madre es la única proveedora y su ingreso no cubre todo,9347.95,1,True,15,PENDIENTE,2025-01-05,2025-01-03
SOL202500072,5745,2024C05745,BEC004,2025CA,Mi familia depende económicamente de mí y de mi preparación profesional,2747.87,2,True,20,PENDIENTE,2024-11-11,2025-02-18
SOL202500073,6877,2021C06877,BEC002,2024CC,Los gastos médicos familiares han reducido nuestro ingreso disponible,7517.44,1,True,20,CANCELADA,2024-11-16,2025/01/09
SOL202500074,6967,2019B06967,BEC003,2024CC,La beca me permitiría dejar de trabajar en horarios nocturnos,7734.55,3,True,40,EN_REVISION,2025-02-21,2025-02-20
SOL202500075,1134,2020C01134,BEC004,2025CA,Mi familia no cuenta con los recursos suficientes para cubrir la colegiatura,3558.79,6,True,0,EN_REVISION,2024-12-02,2025-03-05
SOL202500076,7112,2025C07112,BEC001,2024CC,Mi familia no cuenta con los recursos suficientes para cubrir la colegiatura,8014.43,7,True,48,APROBADA,2025-01-29,2025-01-09
SOL202500077,4609,2023B04609,BEC002,2025CA,Vivo lejos de la escuela y el gasto de transporte es muy alto,8019.65,3,False,0,APROBADA,2024-12-21,2025-03-08
SOL202500078,10341,2018A10341,BEC004,2025CA,Vivo lejos de la escuela y el gasto de transporte es muy alto,5883.64,3,False,0,EN_REVISION,2025-02-05,2025-01-04
SOL202500079,4569,2020C04569,BEC004,2024CC,Trabajo medio tiempo y aún así no me alcanza para cubrir gastos escolares,5948.07,2,True,25,RECHAZADA,2024-11-08,2025-01-18
SOL202500080,7940,2023B07940,BEC004,2025CA,Soy madre soltera y necesito apoyo para continuar mi formación,10481.07,3,False,0,APROBADA,2024-12-20,2025-01-08
SOL202500081,4497,2024A04497,BEC004,2025CA,Quiero aprovechar al máximo esta oportunidad educativa,11085.13,6,False,0,PENDIENTE,2025-01-02,2025-03-02
SOL202500082,8590,2023C08590,BEC002,2024CC,Mi padre perdió su empleo y necesitamos apoyo urgente,4460.15,2,False,0,APROBADA,2025-01-01,2025-03-09
SOL202500083,8014,2024A08014,BEC004,2025CA,Vivo lejos de la escuela y el gasto de transporte es muy alto,3345.84,3,False,0,APROBADA,2024-11-29,2025-02-26
SOL202500084,451,2020B00451,BEC003,2024CC,Quiero aprovechar al máximo esta oportunidad educativa,14694.2,1,True,35,RECHAZADA,2025-01-12,2025-02-24
SOL202500085,5914,2024A05914,BEC002,2024CC,Necesito la beca para poder dedicarme de tiempo completo a mis estudios,11672.12,3,False,0,APROBADA,2024-12-24,2025-01-15
SOL202500086,78,2022A00078,BEC004,2024CC,La beca me permitiría dejar de trabajar en horarios nocturnos,10279.84,3,False,0,PENDIENTE,2024-11-16,2025-03-15
SOL202500087,772,2019C00772,BEC003,2025CA,Mi comunidad de origen tiene pocas oportunidades y estudiar es mi salida,6244.2,3,True,30,RECHAZADA,2024-11-10,2025-02-24
SOL202500088,4892,2021A04892,BEC003,2024CC,Necesito apoyo económico para continuar mis estudios,2500,2,False,0,APROBADA,2024-11-16,2025-03-09
SOL202500089,9529,2022B09529,BEC003,2025CA,Necesito apoyo económico para continuar mis estudios,8385.05,4,False,0,PENDIENTE,2024-11-22,2025-03-15
SOL202500090,2984,2020C02984,BEC004,2025CA,Quiero aprovechar al máximo esta oportunidad educativa,3695.09,2,No,0,EN_REVISION,2025-02-10,2025-03-09
SOL202500091,2055,2021A02055,BEC002,2024CC,Soy madre soltera y necesito apoyo para continuar mi formación,9206.16,4,False,0,APROBADA,2025-02-20,2025-02-11
SOL202500092,1900,2023A01900,BEC002,2024CC,Mi madre es la única proveedora y su ingreso no cubre todo,3143.8,5,SI,0,APROBADA,2025-02-12,2025-03-12
SOL202500093,6543,2025B06543,BEC004,2024CC,Soy madre soltera y necesito apoyo para continuar mi formación,8363.73,3,1,0,APROBADA,2024-12-10,2025-02-18
SOL202500094,10321,2024A10321,BEC004,2024CC,Quiero ser el primero en mi familia en terminar una carrera,5670.66,2,False,0,EN_REVISION,2024-12-22,2025-01-23
SOL202500095,9317,2025C09317,BEC004,2024CC,Necesito apoyo económico para continuar mis estudios,16201.23,2,True,48,APROBADA,2025-01-03,2025-03-09
SOL202500096,6771,2020A06771,BEC004,2025CA,Necesito la beca para poder dedicarme de tiempo completo a mis estudios,6361.59,4,True,0,EN_REVISION,2025-01-29,2025-01-24
SOL202500097,9382,2023C09382,BEC004,2024CC,Mi familia no cuenta con los recursos suficientes para cubrir la colegiatura,70490.63,3,True,15,RECHAZADA,2024-11-03,2025-03-13
SOL202500098,10363,2022A10363,BEC004,2025CA,Soy madre soltera y necesito apoyo para continuar mi formación,4033.32,1,False,0,APROBADA,2025-02-13,2025-03-15
SOL202500099,2439,2021A02439,BEC003,2025CA,Necesito apoyo económico para continuar mis estudios,10142.57,3,True,0,APROBADA,2024-12-25,2025-01-08
SOL202500100,7966,2021C07966,BEC002,2025CA,Mi familia depende económicamente de mí y de mi preparación profesional,4725.49,1,True,20,EN_REVISION,2024-11-18,2025-02-23
SOL202500101,234,2025A00234,BEC001,2024CC,Vivo lejos de la escuela y el gasto de transporte es muy alto,4304.94,2,False,0,EN_REVISION,2024-12-15,2025-01-16
SOL202500102,8226,2023A08226,BEC004,2025CA,Mi familia depende económicamente de mí y de mi preparación profesional,9398.65,2,True,15,EN_REVISION,2024-11-02,2025-01-26
SOL202500103,5028,2019B05028,BEC002,2024CC,Tengo hermanos menores que también necesitan apoyo escolar,7393.75,5,True,15,APROBADA,2025-01-23,2025-03-07
SOL202500104,1125,2023C01125,BEC003,2025CA,La beca me permitiría dejar de trabajar en horarios nocturnos,5751.9,3,True,0,PENDIENTE,2024-12-03,2025-01-21
SOL202500105,1013,2022C01013,BEC003,2025CA,Tengo buen promedio y quiero mantener mi beca por méritos,6417.12,3,True,35,PENDIENTE,2024-12-30,2025-01-27
SOL202500106,7313,2023A07313,BEC004,2024CC,Mi comunidad de origen tiene pocas oportunidades y estudiar es mi salida,6794.72 ,3,True,48,EN_REVISION,2025-01-18,2025-03-03
SOL202500107,9781,2020C09781,BEC004,2024CC,Quiero aprovechar al máximo esta oportunidad educativa,15512.69,7,False,0,EN_REVISION,2025-01-29,2025-03-11
SOL202500108,9630,2023C09630,BEC003,2025CA,TENGO BUEN PROMEDIO Y QUIERO MANTENER MI BECA POR MÉRITOS,6805.8,2,True,40,RECHAZADA,2025-01-07,15/02/2025
SOL202500109,2504,2020C02504,BEC004,2024CC,Quiero ser el primero en mi familia en terminar una carrera,8652.91,5,False,0,PENDIENTE,2025-01-17,2025-01-21
SOL202500110,8240,2022B08240,BEC003,2025CA,Mi familia depende económicamente de mí y de mi preparación profesional,2500,2,False,0,RECHAZADA,2024-12-07,2025-01-22
SOL202500111,4755,2020A04755,BEC004,2025CA,Soy el sostén de mi familia y necesito apoyo para seguir estudiando,2830.14,1,False,0,EN_REVISION,2025-02-10,2025-01-13
SOL202500112,2243,2024B02243,BEC003,2024CC,Soy el sostén de mi familia y necesito apoyo para seguir estudiando,14270.56,2,True,30,APROBADA,2025-01-06,2025-03-13
SOL202500113,8291,2024B08291,BEC004,2024CC,La beca me permitiría dejar de trabajar en horarios nocturnos,11845.13,5,False,0,CANCELADA,2024-12-22,2025-03-12
SOL202500114,5613,2020C05613,BEC004,2024CC,Trabajo medio tiempo y aún así no me alcanza para cubrir gastos escolares,4557.9,3,True,0,APROBADA,2025-01-01,2025-03-01
SOL202500115,8132,2022C08132,BEC003,2024CC,Estoy a punto de abandonar la escuela por falta de recursos,8965.99,1,False,0,RECHAZADA,2024-11-21,2025-03-06
SOL202500116,3957,2023A03957,BEC004,2024CC,Soy madre soltera y necesito apoyo para continuar mi formación,8967.91,4,True,30,EN_REVISION,2025-02-12,2025-02-12
SOL202500117,5295,2025A05295,BEC004,2024CC,Quiero aprovechar al maximo esta oportunidad educativa,2896.65,4,False,0,RECHAZADA,2024-12-08,2025-03-14
SOL202500118,10075,2024B10075,BEC004,2024CC,Mi familia depende económicamente de mí y de mi preparación profesional,9323.72,2,False,0,PENDIENTE,2025-01-11,2025-01-09
SOL202500119,1605,2022C01605,BEC003,2024CC,Soy madre soltera y necesito apoyo para continuar mi formación,3940.39,3,False,0,APROBADA,2025-01-07,2025-01-31
SOL202500120,6975,2022A06975,BEC003,2025CA,Quiero ser el primero en mi familia en terminar una carrera,11647.08,2,True,48,CANCELADA,2024-11-08,2025-01-08
SOL202500121,6603,2025C06603,BEC001,2024CC,Mi familia depende económicamente de mí y de mi preparación profesional,48419.79,2,False,0,PENDIENTE,2024-11-10,2025-01-04
SOL202500122,6862,2024C06862,BEC002,2024CC,Los gastos médicos familiares han reducido nuestro ingreso disponible,4084.41,5,True,0,RECHAZADA,2024-11-25,2025-01-31
SOL202500123,10163,2022B10163,BEC003,2025CA,Mi familia depende económicamente de mí y de mi preparación profesional,16597.52,4,False,0,APROBADA,2025-02-23,2025-01-31
SOL202500124,6153,2021C06153,BEC003,2024CC,Mi situación económica ha empeorado considerablemente,3238.88,6,False,0,PENDIENTE,2025-01-29,2025-01-26
SOL202500125,2838,2023C02838,BEC004,2024CC,Tengo hermanos menores que también necesitan apoyo escolar,6795.01,3,False,0,RECHAZADA,2025-01-20,2025-01-29
SOL202500126,6001,2021B06001,BEC003,2024CC,mi situación económica ha empeorado considerablemente,7240.86,4,False,0,APROBADA,2025-02-10,2025-01-02
SOL202500127,9437,2022A09437,BEC003,2024CC, Necesito apoyo económico para continuar mis estudios,10672.02,4,False,0,RECHAZADA,2024-11-20,02/16/2025
SOL202500128,3777,2019C03777,BEC004,2024CC,Estoy a punto de abandonar la escuela por falta de recursos,3096.74,5,False,0,RECHAZADA,2025-01-26,2025-03-01
SOL202500129,4448,2023A04448,BEC004,2025CA,ESTOY A PUNTO DE ABANDONAR LA ESCUELA POR FALTA DE RECURSOS,4543.36,2,True,10,APROBADA,2024-12-20,2025-02-26
SOL202500130,1696,2025B01696,BEC001,2024CC,Vivo lejos de la escuela y el gasto de transporte es muy alto,2075.67,4,True,0,APROBADA,2024-11-18,2025-01-09
SOL202500131,7459,2025C07459,BEC003,2024CC,SOY MADRE SOLTERA Y NECESITO APOYO PARA CONTINUAR MI FORMACIÓN,2500,4,True,20,CANCELADA,2025-01-29,2025-01-27
SOL202500132,6361,2021A06361,BEC003,2024CC,Mi comunidad de origen tiene pocas oportunidades y estudiar es mi salida,,2,False,0,APROBADA,2025-01-11,2025-01-19
SOL202500133,6875,2023B06875,BEC004,2024CC,Vengo de una zona rural y los costos en la ciudad son muy altos,26471.88,2,True,15,APROBADA,2024-11-21,2025-02-23
SOL202500134,10256,2023B10256,BEC002,2024CC,Quiero ser el primero en mi familia en terminar una carrera,11643.76,2,True,10,CANCELADA,2024-12-26,2025-02-26
SOL202500135,7253,2024B07253,BEC004,2024CC,Los gastos médicos familiares han reducido nuestro ingreso disponible,4476.8,1,False,0,RECHAZADA,2024-12-13,2025-01-24
SOL202500136,7539,2024B07539,BEC004,2025CA,Mi familia depende económicamente de mí y de mi preparación profesional,19327.67,4,True,15,APROBADA,2024-11-20,2025-03-07
SOL202500137,6952,2024B06952,BEC004,2025CA,Vengo de una zona rural y los costos en la ciudad son muy altos,11114.74,6,False,0,PENDIENTE,2025-01-16,2025-02-18
SOL202500138,7973,2023A07973,BEC003,2024CC,Mi madre es la única proveedora y su ingreso no cubre todo,13866.0,2,True,25,RECHAZADA,2025-02-08,2025-02-26
SOL202500139,8362,2023C08362,BEC002,2025CA,mi familia no cuenta con los recursos suficientes para cubrir la colegiatura,3102.18,1,False,0,PENDIENTE,2025-01-09,2025-03-06
SOL202500140,5833,2022B05833,BEC004,2024CC,Mi situación económica ha empeorado considerablemente,10795.94,5,False,0,APROBADA,2024-11-14,2025-02-22
SOL202500141,8358,2021C08358,BEC004,2024CC,Soy madre soltera y necesito apoyo para continuar mi formación,4760.23,5,True,48,EN_REVISION,2025-01-18,2025-01-22
SOL202500142,4446,2021C04446,BEC004,2025CA,Necesito apoyo económico para continuar mis estudios,2984.4,3,False,0,PENDIENTE,2025-01-23,2025-01-11
SOL202500143,6920,2021B06920,BEC002,2024CC,Mi padre perdió su empleo y necesitamos apoyo urgente,8382.39,5,False,0,PENDIENTE,2025-02-07,2025-01-23
SOL202500144,243,2024A00243,BEC003,2025CA,Necesito apoyo económico para continuar mis estudios,7558.1,2,False,0,APROBADA,2024-12-26,2025-01-19
SOL202500145,9503,2024C09503,BEC002,2024CC,Mi familia depende económicamente de mí y de mi preparación profesional,3722.53,2,False,0,PENDIENTE,2024-11-26,2025-02-04
SOL202500146,4270,2023B04270,BEC002,2024CC,Mi familia no cuenta con los recursos suficientes para cubrir la colegiatura,5560.36,3,True,10,PENDIENTE,2025-01-14,2025-02-27
SOL202500147,7220,2022A07220,BEC003,2025CA,Mi comunidad de origen tiene pocas oportunidades y estudiar es mi salida,6402.28,7,False,0,APROBADA,2025-01-20,2025-02-25
SOL202500148,1197,2023C01197,BEC004,2024CC,Soy el sostén de mi familia y necesito apoyo para seguir estudiando,2500,2,False,0,EN_REVISION,2024-11-29,2025-03-09
SOL202500149,3581,2022C03581,BEC004,2025CA,Tengo hermanos menores que también necesitan apoyo escolar,29632.69,5,True,20,RECHAZADA,2025-01-29,01/01/2025
SOL202500150,9335,2021A09335,BEC002,2025CA,La beca me permitiría dejar de trabajar en horarios nocturnos,7774.66,2,False,0,APROBADA,2024-12-09,2025-02-20
SOL202500151,2673,2023C02673,BEC003,2025CA,Mi padre perdió su empleo y necesitamos apoyo urgente,6094.93,3,False,0,RECHAZADA,2024-12-17,2025-02-14
SOL202500152,6940,2024A06940,BEC004,2024CC,Mi familia depende económicamente de mí y de mi preparación profesional,3909.8,3,False,0,APROBADA,2025-02-25,2025-01-10
SOL202500153,6009,2023C06009,BEC004,2025CA,Mi padre perdió su empleo y necesitamos apoyo urgente,10680.58,4,True,25,EN_REVISION,2025-02-15,2025-02-10
SOL202500154,1779,2023A01779,BEC003,2024CC,Mi familia no cuenta con los recursos suficientes para cubrir la colegiatura,6518.15,3,False,0,APROBADA,2024-11-07,2025-02-25
SOL202500155,7331,2024A07331,BEC002,2024CC,Mi familia depende económicamente de mí y de mi preparación profesional,5572.34,6,False,0,CANCELADA,2024-11-22,2025-01-10
SOL202500156,7790,2020A07790,BEC002,2024CC,Mi padre perdió su empleo y necesitamos apoyo urgente,8511.31,1,False,0,APROBADA,2025-01-17,2025-02-08
SOL202500157,8023,2024A08023,BEC002,2024CC,Mi familia depende económicamente de mí y de mi preparación profesional,6151.97,4,False,0,APROBADA,2024-12-28,2025-01-12
SOL202500158,9324,2020A09324,BEC004,2024CC,Soy el sostén de mi familia y necesito apoyo para seguir estudiando,7442.24,2,False,0,RECHAZADA,2025-01-17,2025-01-07
SOL202500159,1610,2024C01610,BEC004,2024CC,Vivo lejos de la escuela y el gasto de transporte es muy alto,2699.32,4,True,10,PENDIENTE,2024-12-17,2025-01-28
SOL202500160,3587,2022A03587,BEC003,2024CC,Quiero ser el primero en mi familia en terminar una carrera,3466.42,1,True,40,APROBADA,2024-11-14,2025-01-19
SOL202500161,392,2020A00392,BEC004,2024CC,Quiero ser el primero en mi familia en terminar una carrera,16727.47,1,False,0,RECHAZADA,2025-02-28,2025-02-18
SOL202500162,4513,2021B04513,BEC004,2025CA,Mi padre perdió su empleo y necesitamos apoyo urgente,2845.41,4,True,15,APROBADA,2024-12-13,2025-01-10
SOL202500163,7492,2023B07492,BEC004,2025CA,Vivo lejos de la escuela y el gasto de transporte es muy alto,13503.17,4,True,25,EN_REVISION,2024-11-23,2025-01-09
