SID,CP_ESTUDIANTE,CP_INSTITUCION,DISTANCIA_KM,METODO_CALCULO,FUENTE_DATOS,FECHA_ACT
50,54320,06040,45.0,GEODESICA_CP,INEGI_DENUE_2024,2025-01-27
51,06050,06040,2.4,GEODESICA_CP,INEGI_MARCO_GEO_2024,2025-01-28
52,15530,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2024-12-22
53,56247,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2025-01-05
54,54290,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2025-01-13
55,16020,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2024-12-05
56,56176,06040,45.0,GEODESICA_CP,INEGI_DENUE_2024,2025-01-08
57,55249,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2025-01-14
58,14700,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2025-01-25
59,06060,06040,1.5,GEODESICA_CP,INEGI_MARCO_GEO_2024,2025-01-30
60,15530,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2024-12-09
61,45626,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2024-12-08
62,54170,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2024-12-27
63,23841,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2025-01-03
64,14380,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2025-01-17
65,50170,06040,45.0,GEODESICA_CP,INEGI_DENUE_2024,2024-12-17
66,55387,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2025-01-13
67,56350,06040,45.0,GEODESICA_CP,INEGI_DENUE_2024,2024-12-16
68,03500,06040,23.5,GEODESICA_CP,INEGI_MARCO_GEO_2024,2024-12-07
69,11550,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2024-12-11
70,08200,06040,18.5,GEODESICA_CP,INEGI_DENUE_2024,2024-12-22
71,14418,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2024-12-26
72,13000,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2025-01-19
73,52270,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2024-12-10
74,55360,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2025-01-27
75,02000,06040,35.7,GEODESICA_CP,INEGI_DENUE_2024,2024-12-11
76,52282,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2024-12-06
77,15540,06040,NULL,GEODESICA_CP,SEPOMEX_2024,2024-12-07
78,75469,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2025-01-25
79,09710,06040,32.0,GEODESICA_CP,SEPOMEX_2024,2024-12-06
80,07100,06040,9.5,GEODESICA_CP,INEGI_DENUE_2024,2025-01-12
81,55350,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2024-12-01
82,02040,06040,34.3,GEODESICA_CP,INEGI_DENUE_2024,2025-01-25
83,10300,06040,36.8,GEODESICA_CP,INEGI_DENUE_2024,2024-12-31
84,,06040,23.4,GEODESICA_CP,INEGI_MARCO_GEO_2024,2025-01-31
85,14000,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2025-01-14
86,09900,06040,34.0,GEODESICA_CP,INEGI_DENUE_2024,2025-01-29
87,11650,06040,45.0,GEODESICA_CP,INEGI_DENUE_2024,2025-01-01
88,06600,06040,7.4,GEODESICA_CP,INEGI_MARCO_GEO_2024,2024-12-20
89,55234,06040,45.0,GEODESICA_CP,INEGI_DENUE_2024,2025-01-16
90,09320,06040,28.1,GEODESICA_CP,INEGI_MARCO_GEO_2024,2024-12-05
91,11650,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2024-12-07
92,53140,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2025-01-02
93,10300,06040,35.7,GEODESICA_CP,SEPOMEX_2024,2025-01-16
94,04010 ,06040,21.2,GEODESICA_CP,SEPOMEX_2024,2025-01-22
95,14250,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2025-01-09
96,55260,06040,45.0,GEODESICA_CP,INEGI_DENUE_2024,2024-12-13
97,15460,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2025-01-08
98,11850,06040,45.0,GEODESICA_CP,INEGI_DENUE_2024,2024-12-15
99,56258,06040,45.0,GEODESICA_CP,INEGI_DENUE_2024,2025-01-11
100,09780,06040,33.2,GEODESICA_CP,INEGI_MARCO_GEO_2024,2024-12-23
101,14735,06040,45.0,GEODESICA_CP,INEGI_DENUE_2024,2024-12-08
102,09360,06040,28.9,GEODESICA_CP,SEPOMEX_2024,2025-01-12
103,13040,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2024-12-05
104,04200,06040,19.5,GEODESICA_CP,SEPOMEX_2024,2025-01-31
105,07200,06040,10.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2024-12-20
106,02080,06040,33.7,GEODESICA_CP,INEGI_DENUE_2024,2024-12-12
107,09920,06040,33.3,GEODESICA_CP,INEGI_DENUE_2024,2024-12-28
108,15840,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2024-12-22
109,07100,06040,12.8,GEODESICA_CP,INEGI_MARCO_GEO_2024,2024-12-30
110,07030,06040,10.3,GEODESICA_CP,INEGI_DENUE_2024,2025-01-26
111,50290,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2024-12-06
112,50170,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2025-01-21
113,09000,06040,28.2,GEODESICA_CP,INEGI_DENUE_2024,2025-01-10
114,55025,06040,45.0,GEODESICA_CP,INEGI_DENUE_2024,2025-01-21
115,11420,06040,44.6,GEODESICA_CP,INEGI_MARCO_GEO_2024,2024-12-14
116,06700,06040,9.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2025-01-13
117,54280,06040,45.0,GEODESICA_CP,INEGI_DENUE_2024,2024-12-06
118,92280,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2025-01-25
119,11700,06040,45.0,GEODESICA_CP,INEGI_DENUE_2024,2024-12-31
120,04100,06040,20.0,GEODESICA_CP,SEPOMEX_2024,2024-12-31
121,02080,06040,33.1,GEODESICA_CP,INEGI_DENUE_2024,2024-12-10
122,54256,06040,45.0 ,GEODESICA_CP,SEPOMEX_2024,2025-01-17
123,05050,06040,10.4,GEODESICA_CP,SEPOMEX_2024,2025-01-26
124,06450,06040,4.2,GEODESICA_CP,INEGI_MARCO_GEO_2024,2025-01-10
125,09720,06040,30.5,GEODESICA_CP,INEGI_DENUE_2024,2025-01-03
126,56295,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2024-12-29
127,55448,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2025-01-31
128,56210,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2024-12-06
129,15610,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2025-01-12
130,15040,06040,45.0,GEODESICA_CP,INEGI_DENUE_2024,2025-01-10
131,14040,06040,45.0,GEODESICA_CP,INEGI_DENUE_2024,2024-12-30
132,55027,06040,45.0,GEODESICA_CP,INEGI_DENUE_2024,2024-12-19
133,15480,06040,45.0,GEODESICA_CP,INEGI_DENUE_2024,2024-12-30
134,09500,06040,30.7,GEODESICA_CP,INEGI_MARCO_GEO_2024,2025-01-09
135,15500,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2025-01-28
136,13020,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2025-01-29
137,03100,06040,24.6,GEODESICA_CP,INEGI_MARCO_GEO_2024,2025-01-04
138,55014,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2025-01-01
139,15510,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2024-12-14
140,55286,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2025-01-16
141,13400,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2025-01-25
142,14735,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2024-12-05
143,15820,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2024-12-22
144,55425,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2024-12-27
145,54400,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2024-12-11
146,NULL,06040,45.0,GEODESICA_CP,INEGI_DENUE_2024,2024-12-31
147,11430,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2025-01-04
148,16060,06040,45.0,GEODESICA_CP,INEGI_DENUE_2024,2024-12-04
149,54040,06040,45.0,GEODESICA_CP,INEGI_DENUE_2024,2025-01-05
150,13010,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2024-12-19
151,03300,06040,23.8,GEODESICA_CP,INEGI_MARCO_GEO_2024,2025-01-18
152,11010,06040,41.3,GEODESICA_CP,INEGI_MARCO_GEO_2024,2025-01-31
153,14050,06040,45.0,GEODESICA_CP,INEGI_DENUE_2024,2025-01-27
154,55390,06040,45.0,GEODESICA_CP,INEGI_DENUE_2024,2024-12-20
155,04300,06040,18.4,GEODESICA_CP,INEGI_DENUE_2024,2025-01-24
156,13600,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2024-12-02
157,54260,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2024-12-19
158,56264,06040,45.0,GEODESICA_CP,INEGI_DENUE_2024,2025-01-17
159,13060,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2025-01-21
160,06040,06040,1.2,GEODESICA_CP,INEGI_DENUE_2024,2024-12-18
161,14640,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2025-01-27
162,0951,06040,32.5,GEODESICA_CP,SEPOMEX_2024,2025-02-01
163,50000,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2025-01-25
164,14080,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2024-12-08
165,06880,06040,11.2,GEODESICA_CP,SEPOMEX_2024,2025-01-06
166,54150,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2024-12-07
167,06700,06040,9.5,GEODESICA_CP,INEGI_MARCO_GEO_2024,2025-01-15
168,13040,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2025-01-12
169,12000,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2024-12-30
170,52150,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2025-01-21
171,03020,06040,0,GEODESICA_CP,SEPOMEX_2024,2025-01-17
172,02010,06040,32.8,GEODESICA_CP,INEGI_MARCO_GEO_2024,2024-12-15
173,15490,06040,45.0,GEODESICA_CP,INEGI_DENUE_2024,2024-12-14
174,09840,06040,31.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2024-12-30
175,15800,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2025-01-22
176,12400,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2024-12-04
177,06720,06040,10.1,GEODESICA_CP,SEPOMEX_2024,2024-12-03
178,56158,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2025-01-25
179,11840,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2024-12-25
180,55056,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2025-01-19
181,09310,06040,28.7,GEODESICA_CP,INEGI_DENUE_2024,2025-01-02
182,53220,06040,45.0,GEODESICA_CP,INEGI_DENUE_2024,2024-12-02
183,14390,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2024-12-19
184,55056,06040,45.0,GEODESICA_CP,INEGI_DENUE_2024,2024-12-01
185,55420,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2025-01-01
186,09020,06040,NULL,GEODESICA_CP,INEGI_DENUE_2024,2024-12-29
187,55384,06040,45.0,GEODESICA_CP,INEGI_DENUE_2024,2024-12-03
188,55310,06040,45.0,GEODESICA_CP,INEGI_DENUE_2024,2025-01-27
189,10300,06040,37.7,GEODESICA_CP,SEPOMEX_2024,2025-01-01
190,13040,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2024-12-19
191,15900,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2025-01-01
192,09710,06040,34.1,GEODESICA_CP,SEPOMEX_2024,2024-12-25
193,09100,06040,28.4,GEODESICA_CP,INEGI_MARCO_GEO_2024,2025-01-12
194,50160,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2025-01-11
195,09450,06040,29.1,GEODESICA_CP,SEPOMEX_2024,2024-12-28
196,05110,06040,12.2,GEODESICA_CP,INEGI_MARCO_GEO_2024,2024-12-28
197,13530,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2025-01-18
198,15070,06040,45.0,GEODESICA_CP,INEGI_DENUE_2024,2024-12-15
199,13400,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2025-01-01
200,09020,06040,25.8,GEODESICA_CP,SEPOMEX_2024,2025-01-14
201,55130,06040,0,GEODESICA_CP,INEGI_DENUE_2024,2024-12-11
202,09000,06040,27.8,GEODESICA_CP,INEGI_MARCO_GEO_2024,2025-01-17
203,14070,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2024-12-19
204,07060,06040,12.3,GEODESICA_CP,INEGI_MARCO_GEO_2024,2025-01-11
205,06840,06040,10.2,GEODESICA_CP,INEGI_DENUE_2024,2024-12-25
206,14270,06040,45.0,GEODESICA_CP,INEGI_DENUE_2024,2025-01-21
207,09080,06040,25.8,GEODESICA_CP,INEGI_MARCO_GEO_2024,2025-01-18
208,09310,06040,28.6,GEODESICA_CP,SEPOMEX_2024,2025-01-16
209,13360,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2024-12-02
210,15820,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2024-12-19
211,09860,06040,NULL,GEODESICA_CP,INEGI_MARCO_GEO_2024,2025-01-10
212,09720,06040,34.4,GEODESICA_CP,INEGI_MARCO_GEO_2024,2024-12-19
213,55384,06040,45.0,GEODESICA_CP,INEGI_DENUE_2024,2025-01-02
214,88275,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2025-01-05
215,15010,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2024-12-06
216,08020,06040,20.2,GEODESICA_CP,SEPOMEX_2024,2025-02-01
217,36085,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2025-01-30
218,NULL,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2025-01-07
219,81371,06040,-,GEODESICA_CP,INEGI_DENUE_2024,2024-12-14
220,61535,06040,45.0,GEODESICA_CP,INEGI_DENUE_2024,2025-01-16
221,11570,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2024-12-15
222,12300,06040,45.0,GEODESICA_CP,INEGI_DENUE_2024,2025-01-26
223,09320,06040,31.1,GEODESICA_CP,INEGI_DENUE_2024,2025-01-10
224,05110,06040,9.6,GEODESICA_CP,INEGI_MARCO_GEO_2024,2024-12-26
225,01060,06040,42.4,GEODESICA_CP,INEGI_MARCO_GEO_2024,2024-12-19
226,55310,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2024-12-11
227,15000,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2025-01-09
228,50130,06040,45.0,GEODESICA_CP,INEGI_DENUE_2024,2024-12-16
229,15020,06040,45.0,GEODESICA_CP,INEGI_DENUE_2024,2025-01-25
230,09870,06040,35.5,GEODESICA_CP,SEPOMEX_2024,2024-12-30
231,55270,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2024-12-02
232,09260,06040,28.7,GEODESICA_CP,INEGI_DENUE_2024,2025-01-20
233,,06040,42.7,GEODESICA_CP,INEGI_DENUE_2024,2024-12-08
234,11820,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2024-12-20
235,36255,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2024-12-09
236,15010,06040,45.0,GEODESICA_CP,INEGI_DENUE_2024,2024-12-24
237,07030,06040,8.8,GEODESICA_CP,SEPOMEX_2024,2024-12-19
238,54245,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2025-01-19
239,15030,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2024-12-01
240,06250,06040,4.2,GEODESICA_CP,INEGI_MARCO_GEO_2024,2024-12-16
241,55338,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2025-01-15
242,55050,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2024-12-16
243,06880,06040,10.2,GEODESICA_CP,INEGI_DENUE_2024,2025-01-25
244,09360,06040,29.8,GEODESICA_CP,INEGI_DENUE_2024,2025-01-27
245,58888,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2024-12-14
246,01040,06040,42.7,GEODESICA_CP,INEGI_DENUE_2024,2025-01-30
247,13300,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2025-01-18
248,13050,06040,,GEODESICA_CP,INEGI_DENUE_2024,2025-01-08
249,14240,06040,45.0,GEODESICA_CP,INEGI_DENUE_2024,2025-01-19
250,53290,06040,45.0,GEODESICA_CP,INEGI_DENUE_2024,2025-01-31
251,15320,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2024-12-09
252,09089,06040,27.6,GEODESICA_CP,SEPOMEX_2024,2024-12-17
253,10800,06040,42.2,GEODESICA_CP,INEGI_MARCO_GEO_2024,2024-12-23
254,56355,06040,45.0,GEODESICA_CP,INEGI_DENUE_2024,2024-12-02
255,04300,06040,15.3,GEODESICA_CP,INEGI_MARCO_GEO_2024,2024-12-29
256,14310,06040,45.0,GEODESICA_CP,INEGI_DENUE_2024,2025-01-25
257,56356,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2024-12-05
258,09630,06040,30.1,GEODESICA_CP,INEGI_MARCO_GEO_2024,2025-01-02
259,55315,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2024-12-04
260,14270,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2024-12-04
261,01080,06040,40.4,GEODESICA_CP,SEPOMEX_2024,2025-01-12
262,05050,06040,9.6,GEODESICA_CP,INEGI_DENUE_2024,2025-01-10
263,09230,06040,30.5,GEODESICA_CP,SEPOMEX_2024,2024-12-23
264,11430,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2025-01-16
265,14700,06040,45.0,GEODESICA_CP,INEGI_DENUE_2024,2024-12-08
266,09520,06040,32.5,GEODESICA_CP,INEGI_MARCO_GEO_2024,2024-12-09
267,14060,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2025-01-04
268,16070,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2025-01-10
269,06500,06040,4.7,GEODESICA_CP,INEGI_MARCO_GEO_2024,2024-12-30
270,52282,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2024-12-23
271,15050,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2024-12-10
272,08500,06040,22.6,GEODESICA_CP,INEGI_DENUE_2024,2025-01-28
273,06600,06040,8.0,GEODESICA_CP,INEGI_DENUE_2024,2024-12-22
274,11490,06040,45.0,GEODESICA_CP,INEGI_DENUE_2024,2025-02-01
275,06760,06040,6.6,GEODESICA_CP,SEPOMEX_2024,2025-01-06
276,55418,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2024-12-19
277,11020,06040,42.6,GEODESICA_CP,INEGI_MARCO_GEO_2024,2024-12-24
278,09030,06040,28.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2024-12-12
279,05030,06040,13.0,GEODESICA_CP,INEGI_DENUE_2024,2025-01-16
280,52190,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2025-01-24
281,13430,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2024-12-19
282,50200,06040,45.0,GEODESICA_CP,INEGI_DENUE_2024,2024-12-11
283,15800,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2024-12-10
284,11200,06040,42.3,GEODESICA_CP,INEGI_DENUE_2024,2025-01-04
285,91900 ,06040,45.0,GEODESICA_CP,INEGI_DENUE_2024,2025-01-23
286,11450,06040,44.2,GEODESICA_CP,SEPOMEX_2024,2024-12-16
287,06020,06040,5.2,GEODESICA_CP,INEGI_DENUE_2024,2024-12-26
288,65977,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2024-12-20
289,15810,06040,45.0,GEODESICA_CP,INEGI_DENUE_2024,2025-01-24
290,54100,06040,45.0,GEODESICA_CP,INEGI_DENUE_2024,2024-12-27
291,06100,06040,4.9,GEODESICA_CP,INEGI_DENUE_2024,2024-12-22
292,06000,06040,4.6,GEODESICA_CP,INEGI_DENUE_2024,2024-12-16
293,54370,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2025-01-24
294,06170,06040,3.2,GEODESICA_CP,INEGI_DENUE_2024,2025-01-08
295,14340,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2024-12-04
296,09710,06040,32.6,GEODESICA_CP,INEGI_DENUE_2024,2024-12-08
297,14610,06040,45.0,GEODESICA_CP,INEGI_DENUE_2024,2024-12-29
298,08050,06040,16.6,GEODESICA_CP,INEGI_DENUE_2024,2024-12-18
299,07100,06040,9.2,GEODESICA_CP,INEGI_MARCO_GEO_2024,2024-12-23
300,50230,06040,45.0,GEODESICA_CP,INEGI_DENUE_2024,2024-12-29
301,05040,06040,9.8,GEODESICA_CP,SEPOMEX_2024,2025-01-14
302,53210,06040,45.0,GEODESICA_CP,INEGI_DENUE_2024,2025-01-12
303,15030,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2025-01-13
304,15800,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2024-12-11
305,59240,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2025-01-03
306,76163,06040,45.0,GEODESICA_CP,INEGI_DENUE_2024,2024-12-01
307,02070,06040,35.4,GEODESICA_CP,SEPOMEX_2024,2024-12-10
308,54243,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2025-01-11
309,02050,06040,N/A,GEODESICA_CP,INEGI_DENUE_2024,2024-12-04
310,12000,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2025-01-24
311,11410,06040,43.6,GEODESICA_CP,INEGI_MARCO_GEO_2024,2024-12-27
312,56317,06040,45.0,GEODESICA_CP,INEGI_DENUE_2024,2024-12-28
313,06840,06040,9.3,GEODESICA_CP,INEGI_MARCO_GEO_2024,2024-12-21
314,09510,06040,29.6,GEODESICA_CP,INEGI_MARCO_GEO_2024,2024-12-28
315,01020,06040,42.3,GEODESICA_CP,INEGI_MARCO_GEO_2024,2025-01-31
316,56320,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2025-01-08
317,11100,06040,44.1,GEODESICA_CP,SEPOMEX_2024,2024-12-03
318,50020,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2025-01-04
319,06600,06040,5.6,GEODESICA_CP,SEPOMEX_2024,2024-12-10
320,06350,06040,6.5,GEODESICA_CP,SEPOMEX_2024,2025-01-05
321,11540,06040,45.0,GEODESICA_CP,INEGI_DENUE_2024,2025-01-20
322,07100,06040,9.1,GEODESICA_CP,INEGI_DENUE_2024,2025-01-09
323,56317,06040,45.0,GEODESICA_CP,INEGI_DENUE_2024,2025-01-30
324,11540 ,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2025-01-18
